Id,Name,Duration,LastRun,LastResults,Verdict,Cycle,E1,E2,E3,DIST,CHANGE_IN_STATUS,PRIORITY_VALUE,LastRunFeature,DurationFeature
1,78075,61690,2015-2-19,"[0, 1, 1]",1,2,0,1,1,0,1,0.9850219893960255,5.0,0.40955279774531955
2,78078,58661,2015-2-25,"[0, 1, 1]",1,3,0,1,1,0,1,0.9808473807741975,0.11948051948051949,0.3886087747781137
3,78086,59120,2015-2-26,"[0, 1, 1]",1,4,0,1,1,0,1,0.9814799807601398,0.13246753246753246,0.3917825306519821
4,78091,57323,2015-2-26,"[0, 1, 1]",1,4,0,1,1,0,1,0.9790033311419738,0.13506493506493505,0.37935717268827496
5,78092,57052,2015-2-26,"[0, 1, 1]",1,4,0,1,1,0,1,0.9786298352897073,0.13506493506493505,0.3774833429675378
6,78079,59348,2015-2-26,"[0, 1, 1]",1,4,0,1,1,0,1,0.9817942134328954,0.13506493506493505,0.3933590368376946
7,78093,57542,2015-2-26,"[0, 1, 1]",1,4,0,1,1,0,1,0.9793051598934365,0.13506493506493505,0.38087144836665665
8,78085,55332,2015-2-26,"[0, 1, 1]",1,4,0,1,1,0,1,0.9762593081092702,0.13506493506493505,0.3655904015665493
9,78081,56285,2015-2-26,"[1, 1, 1]",1,4,1,1,1,0,0,1.0775727455528497,0.13506493506493505,0.3721799208427947
10,78094,56819,2015-2-26,"[0, 1, 1]",1,4,0,1,1,0,1,0.9783087115495667,0.13506493506493505,0.3758722642777528
11,78080,55577,2015-2-26,"[0, 1, 1]",1,4,0,1,1,0,1,0.9765969704111348,0.13506493506493505,0.3672844542661087
12,78095,57176,2015-2-26,"[0, 1, 1]",1,4,0,1,1,0,1,0.9788007337608551,0.13506493506493505,0.3783407410685393
13,78084,56861,2015-2-26,"[0, 1, 1]",1,4,0,1,1,0,1,0.9783665965156005,0.13506493506493505,0.37616267331196296
14,78097,56062,2015-2-26,"[0, 1, 1]",1,4,0,1,1,0,1,0.977265403947479,0.13506493506493505,0.37063798716115487
15,78074,54015,2015-2-26,"[0, 1, 1]",1,4,0,1,1,0,1,0.9744442009600635,0.13506493506493505,0.35648400399381563
16,78090,59522,2015-2-26,"[0, 1, 1]",1,4,0,1,1,0,1,0.9820340225778931,0.13506493506493505,0.39456215997942246
17,78083,57145,2015-2-26,"[0, 1, 1]",1,4,0,1,1,0,1,0.9787580091430681,0.13506493506493505,0.3781263915432889
18,78096,57046,2015-2-26,"[0, 1, 1]",1,4,0,1,1,0,1,0.9786215660088453,0.13506493506493505,0.3774418559626507
19,78075,61690,2015-2-26,"[1, 0, 1, 1]",1,4,1,0,1,0,2,0.8850219893960254,0.13506493506493505,0.40955279774531955
20,78088,63852,2015-2-26,"[0, 1, 1]",1,4,0,1,1,0,1,0.9880016869332957,0.13506493506493505,0.42450194850632955
21,78098,54792,2015-2-26,"[1, 1, 1]",1,4,1,1,1,0,0,1.0755150728316911,0.13506493506493505,0.3618565711267041
22,78076,57319,2015-2-26,"[0, 1, 1]",1,4,0,1,1,0,1,0.9789978182880659,0.13506493506493505,0.3793295146850168
23,78087,56098,2015-2-26,"[0, 1, 1]",1,4,0,1,1,0,1,0.9773150196326509,0.13506493506493505,0.3708869091904779
24,78082,57262,2015-2-26,"[0, 1, 1]",1,4,0,1,1,0,1,0.978919260119877,0.13506493506493505,0.37893538813858874
25,78089,62456,2015-2-26,"[0, 1, 1]",1,4,0,1,1,0,1,0.9860777009194062,0.13506493506493505,0.4148493053692482
26,78077,59096,2015-2-26,"[0, 1, 1]",1,4,0,1,1,0,1,0.9814469036366918,0.13506493506493505,0.3916165826324335
27,78084,56861,2015-2-26,"[1, 0, 1, 1]",0,4,1,0,1,0,2,0.8783665965156007,0.13506493506493505,0.37616267331196296
28,78088,63852,2015-2-26,"[1, 0, 1, 1]",0,4,1,0,1,0,2,0.8880016869332957,0.13506493506493505,0.42450194850632955
29,78076,57319,2015-2-26,"[1, 0, 1, 1]",0,4,1,0,1,0,2,0.8789978182880659,0.13506493506493505,0.3793295146850168
30,78080,55577,2015-2-26,"[1, 0, 1, 1]",0,4,1,0,1,0,2,0.8765969704111348,0.13506493506493505,0.3672844542661087
31,78095,57176,2015-2-26,"[1, 0, 1, 1]",0,4,1,0,1,0,2,0.8788007337608551,0.13506493506493505,0.3783407410685393
32,78094,56819,2015-2-26,"[1, 0, 1, 1]",0,4,1,0,1,0,2,0.8783087115495667,0.13506493506493505,0.3758722642777528
33,78077,59096,2015-2-26,"[1, 0, 1, 1]",0,4,1,0,1,0,2,0.8814469036366919,0.13506493506493505,0.3916165826324335
34,78075,61690,2015-2-26,"[1, 1, 0, 1, 1]",0,4,1,1,0,0,1,0.38502198939602555,0.13506493506493505,0.40955279774531955
35,78090,59522,2015-2-26,"[1, 0, 1, 1]",0,4,1,0,1,0,2,0.8820340225778931,0.13506493506493505,0.39456215997942246
36,78079,59348,2015-2-26,"[1, 0, 1, 1]",0,4,1,0,1,0,2,0.8817942134328954,0.13506493506493505,0.3933590368376946
37,78092,57052,2015-2-26,"[1, 0, 1, 1]",0,4,1,0,1,0,2,0.8786298352897073,0.13506493506493505,0.3774833429675378
38,78087,56098,2015-2-26,"[1, 0, 1, 1]",0,4,1,0,1,0,2,0.8773150196326509,0.13506493506493505,0.3708869091904779
39,78091,57323,2015-2-26,"[1, 0, 1, 1]",0,4,1,0,1,0,2,0.8790033311419738,0.13506493506493505,0.37935717268827496
40,78086,59120,2015-2-26,"[1, 0, 1, 1]",0,4,1,0,1,0,2,0.8814799807601398,0.13506493506493505,0.3917825306519821
41,78096,57046,2015-2-26,"[1, 0, 1, 1]",0,4,1,0,1,0,2,0.8786215660088453,0.13506493506493505,0.3774418559626507
42,78078,58661,2015-2-26,"[1, 0, 1, 1]",0,4,1,0,1,0,2,0.8808473807741976,0.13506493506493505,0.3886087747781137
43,78074,54015,2015-2-26,"[1, 0, 1, 1]",1,4,1,0,1,0,2,0.8744442009600635,0.13506493506493505,0.35648400399381563
44,78089,62456,2015-2-26,"[1, 0, 1, 1]",0,4,1,0,1,0,2,0.8860777009194062,0.13506493506493505,0.4148493053692482
45,78093,57542,2015-2-26,"[1, 0, 1, 1]",0,4,1,0,1,0,2,0.8793051598934365,0.13506493506493505,0.38087144836665665
46,78085,55332,2015-2-26,"[1, 0, 1, 1]",0,4,1,0,1,0,2,0.8762593081092702,0.13506493506493505,0.3655904015665493
47,78098,54792,2015-2-26,"[1, 1, 1, 1]",1,4,1,1,1,0,0,1.0755150728316911,0.13506493506493505,0.3618565711267041
48,78082,57262,2015-2-26,"[1, 0, 1, 1]",0,4,1,0,1,0,2,0.878919260119877,0.13506493506493505,0.37893538813858874
49,78097,56062,2015-2-26,"[1, 0, 1, 1]",0,4,1,0,1,0,2,0.877265403947479,0.13506493506493505,0.37063798716115487
50,78083,57145,2015-2-26,"[1, 0, 1, 1]",0,4,1,0,1,0,2,0.8787580091430681,0.13506493506493505,0.3781263915432889
51,78081,56285,2015-2-26,"[1, 1, 1, 1]",1,4,1,1,1,0,0,1.0775727455528497,0.13506493506493505,0.3721799208427947
52,83232,57388,2015-3-14,"[1, 1, 1]",1,11,1,1,1,0,0,1.0790929150179789,0.09350649350649351,0.3798066152412193
53,82371,89267,2015-3-18,"[1, 1, 1]",1,13,1,1,1,0,0,1.1230289824512079,0.12467532467532468,0.6002339867075637
54,82371,89267,2015-3-18,"[1, 1, 1, 1]",1,13,1,1,1,0,0,1.1230289824512079,0.13506493506493505,0.6002339867075637
55,82371,89267,2015-3-18,"[1, 1, 1, 1, 1]",1,13,1,1,1,0,0,1.1230289824512079,0.13506493506493505,0.6002339867075637
56,82371,89267,2015-3-19,"[1, 1, 1, 1, 1, 1]",1,13,1,1,1,0,0,1.1230289824512079,0.13246753246753246,0.6002339867075637
57,82371,89267,2015-3-19,"[1, 1, 1, 1, 1, 1, 1]",1,13,1,1,1,0,0,1.1230289824512079,0.13506493506493505,0.6002339867075637
58,82371,89267,2015-3-19,"[1, 1, 1, 1, 1, 1, 1, 1]",1,13,1,1,1,0,0,1.1230289824512079,0.13506493506493505,0.6002339867075637
59,82371,89267,2015-3-19,"[1, 1, 1, 1, 1, 1, 1, 1, 1]",0,13,1,1,1,0,0,1.1230289824512079,0.13506493506493505,0.6002339867075637
60,85634,98916,2015-3-25,"[1, 1, 1]",0,15,1,1,1,0,0,1.1363273642907645,0.11948051948051949,0.6669520050669462
61,78094,56819,2015-4-2,"[0, 1, 0, 1, 1]",0,17,0,1,0,0,2,0.27830871154956677,0.11428571428571428,0.3758722642777528
62,78096,57046,2015-4-2,"[0, 1, 0, 1, 1]",0,17,0,1,0,0,2,0.27862156600884536,0.13506493506493505,0.3774418559626507
63,78095,57176,2015-4-2,"[0, 1, 0, 1, 1]",0,17,0,1,0,0,2,0.2788007337608552,0.13506493506493505,0.3783407410685393
64,78097,56062,2015-4-2,"[0, 1, 0, 1, 1]",0,17,0,1,0,0,2,0.27726540394747906,0.13506493506493505,0.37063798716115487
65,78098,54792,2015-4-2,"[1, 1, 1, 1, 1]",1,17,1,1,1,0,0,1.0755150728316911,0.13506493506493505,0.3618565711267041
66,78087,56098,2015-4-2,"[0, 1, 0, 1, 1]",0,17,0,1,0,0,2,0.277315019632651,0.13506493506493505,0.3708869091904779
67,78077,59096,2015-4-2,"[0, 1, 0, 1, 1]",0,17,0,1,0,0,2,0.2814469036366919,0.13506493506493505,0.3916165826324335
68,78086,59120,2015-4-2,"[0, 1, 0, 1, 1]",0,17,0,1,0,0,2,0.28147998076013986,0.13506493506493505,0.3917825306519821
69,82648,52799,2015-4-2,"[1, 0, 1]",1,17,1,0,1,0,2,0.8727682933720335,0.13506493506493505,0.34807597100334936
70,78078,58661,2015-4-2,"[0, 1, 0, 1, 1]",0,17,0,1,0,0,2,0.28084738077419763,0.13506493506493505,0.3886087747781137
71,78089,62456,2015-4-2,"[0, 1, 0, 1, 1]",0,17,0,1,0,0,2,0.2860777009194062,0.13506493506493505,0.4148493053692482
72,78075,61690,2015-4-2,"[0, 1, 1, 0, 1, 1]",0,17,0,1,1,0,1,0.9850219893960255,0.13506493506493505,0.40955279774531955
73,78088,63852,2015-4-2,"[0, 1, 0, 1, 1]",0,17,0,1,0,0,2,0.28800168693329586,0.13506493506493505,0.42450194850632955
74,78076,57319,2015-4-2,"[0, 1, 0, 1, 1]",0,17,0,1,0,0,2,0.2789978182880659,0.13506493506493505,0.3793295146850168
75,78081,56285,2015-4-2,"[1, 1, 1, 1, 1]",1,17,1,1,1,0,0,1.0775727455528497,0.13506493506493505,0.3721799208427947
76,78084,56861,2015-4-2,"[0, 1, 0, 1, 1]",0,17,0,1,0,0,2,0.2783665965156007,0.13506493506493505,0.37616267331196296
77,78082,57262,2015-4-2,"[0, 1, 0, 1, 1]",0,17,0,1,0,0,2,0.278919260119877,0.13506493506493505,0.37893538813858874
78,78083,57145,2015-4-2,"[0, 1, 0, 1, 1]",0,17,0,1,0,0,2,0.2787580091430682,0.13506493506493505,0.3781263915432889
79,78079,59348,2015-4-2,"[0, 1, 0, 1, 1]",0,17,0,1,0,0,2,0.28179421343289546,0.13506493506493505,0.3933590368376946
80,78085,55332,2015-4-2,"[0, 1, 0, 1, 1]",0,17,0,1,0,0,2,0.2762593081092703,0.13506493506493505,0.3655904015665493
81,78166,59311,2015-4-2,"[0, 0, 1]",1,17,0,0,1,0,1,0.7817432195342465,0.13506493506493505,0.39310320030755697
82,78080,55577,2015-4-2,"[0, 1, 0, 1, 1]",0,17,0,1,0,0,2,0.27659697041113485,0.13506493506493505,0.3672844542661087
83,78093,57542,2015-4-2,"[0, 1, 0, 1, 1]",0,17,0,1,0,0,2,0.2793051598934365,0.13506493506493505,0.38087144836665665
84,78091,57323,2015-4-2,"[0, 1, 0, 1, 1]",0,17,0,1,0,0,2,0.2790033311419739,0.13506493506493505,0.37935717268827496
85,78092,57052,2015-4-2,"[0, 1, 0, 1, 1]",0,17,0,1,0,0,2,0.27862983528970736,0.13506493506493505,0.3774833429675378
86,78074,54015,2015-4-2,"[1, 1, 0, 1, 1]",0,17,1,1,0,0,1,0.37444420096006353,0.13506493506493505,0.35648400399381563
87,78090,59522,2015-4-2,"[0, 1, 0, 1, 1]",0,17,0,1,0,0,2,0.2820340225778932,0.13506493506493505,0.39456215997942246
88,78167,56715,2015-4-3,"[1, 0, 0]",0,17,1,0,0,0,1,0.17816537734795895,0.13246753246753246,0.3751531561930418
89,78166,59311,2015-4-3,"[1, 0, 0, 1]",0,17,1,0,0,0,1,0.18174321953424655,0.13506493506493505,0.39310320030755697
90,78168,60127,2015-4-3,"[1, 0, 0]",0,17,1,0,0,0,1,0.18286784173147716,0.13506493506493505,0.398745432972212
91,78184,55118,2015-4-3,"[1, 0, 0]",0,17,1,0,0,0,1,0.17596437042519264,0.13506493506493505,0.3641106983922403
92,78181,56434,2015-4-3,"[1, 0, 0]",0,17,1,0,0,0,1,0.17777809936092243,0.13506493506493505,0.3732101814641594
93,78149,56856,2015-4-3,"[0, 1, 1]",1,17,0,1,1,0,1,0.9783597054482156,0.13506493506493505,0.3761281008078903
94,78157,55266,2015-4-3,"[1, 1, 1]",0,17,1,1,1,0,0,1.0761683460197884,0.13506493506493505,0.3651340445127904
95,78149,56856,2015-4-3,"[1, 0, 1, 1]",0,17,1,0,1,0,2,0.8783597054482156,0.13506493506493505,0.3761281008078903
96,78202,57849,2015-4-3,"[1, 1, 1]",1,17,1,1,1,0,0,1.079728271430875,0.13506493506493505,0.3829942001167168
97,78209,55956,2015-4-3,"[1, 1, 1]",1,17,1,1,1,0,0,1.0771193133189172,0.13506493506493505,0.3699050500748149
98,78194,56191,2015-4-3,"[1, 1, 1]",0,17,1,1,1,0,0,1.0774431934860118,0.13506493506493505,0.371529957766229
99,78209,55956,2015-4-3,"[1, 1, 1, 1]",0,17,1,1,1,0,0,1.0771193133189172,0.13506493506493505,0.3699050500748149
100,84005,56263,2015-4-3,"[1, 1, 1]",0,17,1,1,1,0,0,1.0775424248563557,0.13506493506493505,0.37202780182487505
101,82426,55007,2015-4-4,"[1, 0, 1]",0,18,1,0,1,0,2,0.8758113887292458,0.13246753246753246,0.36334318880182764
102,82437,55591,2015-4-4,"[1, 0, 1]",0,18,1,0,1,0,2,0.8766162653998127,0.13506493506493505,0.3673812572775121
103,82424,55886,2015-4-4,"[1, 0, 1]",0,18,1,0,1,0,2,0.8770228383755273,0.13506493506493505,0.36942103501779794
104,82432,56187,2015-4-4,"[1, 0, 1]",0,18,1,0,1,0,2,0.8774376806321038,0.13506493506493505,0.3715022997629709
105,82428,56815,2015-4-4,"[1, 0, 1]",0,18,1,0,1,0,2,0.8783031986956586,0.13506493506493505,0.3758446062744946
106,82444,55000,2015-4-4,"[1, 0, 1]",1,18,1,0,1,0,2,0.8758017412349067,0.13506493506493505,0.3632947872961259
107,82448,55612,2015-4-4,"[0, 0, 0]",0,18,0,0,0,0,0,0.0766452078828298,0.13506493506493505,0.36752646179461723
108,82429,58401,2015-4-4,"[1, 0, 1]",0,18,1,0,1,0,2,0.880489045270178,0.13506493506493505,0.3868110045663364
109,82435,56933,2015-4-4,"[1, 0, 1]",0,18,1,0,1,0,2,0.8784658278859445,0.13506493506493505,0.37666051737060896
110,82441,58132,2015-4-4,"[1, 1, 1]",0,18,1,1,1,0,0,1.0801183058448656,0.13506493506493505,0.38495100384722825
111,82423,54769,2015-4-4,"[1, 0, 1]",0,18,1,0,1,0,2,0.8754833739217202,0.13506493506493505,0.36169753760796997
112,82438,56181,2015-4-4,"[1, 0, 1]",0,18,1,0,1,0,2,0.8774294113512418,0.13506493506493505,0.37146081275808374
113,82419,26714,2015-4-4,"[1, 1, 1]",0,18,1,1,1,0,0,1.0368175948245328,0.13506493506493505,0.16771121725638138
114,82425,54746,2015-4-4,"[1, 0, 1]",0,18,1,0,1,0,2,0.8754516750117491,0.13506493506493505,0.36153850408923577
115,82427,56490,2015-4-4,"[1, 1, 1]",0,18,1,1,1,0,0,1.0778552793156344,0.13506493506493505,0.373597393509773
116,82440,56302,2015-4-4,"[1, 0, 1]",0,18,1,0,1,0,2,0.8775961751819585,0.13506493506493505,0.3722974673566416
117,82422,55148,2015-4-4,"[1, 0, 1]",0,18,1,0,1,0,2,0.8760057168295026,0.13506493506493505,0.3643181334166761
118,82442,56296,2015-4-4,"[1, 0, 1]",0,18,1,0,1,0,2,0.8775879059010966,0.13506493506493505,0.3722559803517545
119,82421,55549,2015-4-4,"[1, 0, 1]",0,18,1,0,1,0,2,0.8765583804337789,0.13506493506493505,0.3670908482433019
120,82431,55444,2015-4-4,"[1, 0, 1]",0,18,1,0,1,0,2,0.876413668018694,0.13506493506493505,0.36636482565777645
121,82445,55643,2015-4-4,"[1, 1, 1]",0,18,1,1,1,0,0,1.0766879325006167,0.13506493506493505,0.3677408113198676
122,82434,57460,2015-4-4,"[1, 0, 1]",1,18,1,0,1,0,2,0.8791921463883225,0.13506493506493505,0.3803044592998653
123,82420,55796,2015-4-4,"[1, 0, 1]",0,18,1,0,1,0,2,0.8768987991625974,0.13506493506493505,0.36879872994449037
124,82443,55994,2015-4-4,"[1, 0, 1]",0,18,1,0,1,0,2,0.8771716854310431,0.13506493506493505,0.37016780110576697
125,82433,56058,2015-4-4,"[1, 0, 1]",0,18,1,0,1,0,2,0.8772598910935709,0.13506493506493505,0.3706103291578968
